City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
117,Raduzhnyy,RU,2021-05-31 04:16:09,62.0961,77.475,55.2,79,81,13.22
118,Kalmunai,LK,2021-05-31 04:16:09,7.4167,81.8167,86.81,61,92,1.86
119,Upernavik,GL,2021-05-31 04:12:46,72.7868,-56.1549,30.33,97,100,3.31
120,Atuona,PF,2021-05-31 04:15:14,-9.8,-139.0333,79.34,69,2,10.85
121,Naze,JP,2021-05-31 04:16:10,28.3667,129.4833,79.72,78,100,17.74
122,Merrill,US,2021-05-31 04:16:07,45.1805,-89.6835,53.37,81,75,3.44
123,Skjervoy,NO,2021-05-31 04:16:11,70.0311,20.9714,48.2,86,99,29.66
124,Saint Anthony,US,2021-05-31 04:16:11,45.0205,-93.218,60.82,76,90,5.95
125,Ponta Do Sol,PT,2021-05-31 04:14:20,32.6667,-17.1,63.72,75,9,3.65
126,Fortuna,US,2021-05-31 04:16:11,40.5982,-124.1573,54.99,58,95,3.0
127,Port Elizabeth,ZA,2021-05-31 04:12:17,-33.918,25.5701,51.91,78,79,7.85
128,Kodiak,US,2021-05-31 04:12:08,57.79,-152.4072,47.71,66,90,6.91
129,Areka,ET,2021-05-31 04:16:12,7.0667,37.7,60.37,81,46,2.68
130,Augusto Correa,BR,2021-05-31 04:16:13,-1.0217,-46.635,73.47,98,13,2.86
131,Aljezur,PT,2021-05-31 04:16:13,37.3191,-8.8033,58.82,95,69,4.79
132,Chepareria,KE,2021-05-31 04:16:13,1.3077,35.2039,59.2,85,94,5.3
133,Hobart,AU,2021-05-31 04:14:53,-42.8794,147.3294,55.92,65,0,1.01
134,Poway,US,2021-05-31 04:15:00,32.9628,-117.0359,61.02,79,1,1.01
135,Maceio,BR,2021-05-31 04:16:14,-9.6658,-35.7353,74.64,94,90,3.4
136,Port Hardy,CA,2021-05-31 04:15:39,50.6996,-127.4199,59.18,77,90,10.36
137,Arraial Do Cabo,BR,2021-05-31 04:16:15,-22.9661,-42.0278,73.51,89,98,9.57
138,Marsh Harbour,BS,2021-05-31 04:16:15,26.5412,-77.0636,77.76,80,95,11.54
139,Barrow,US,2021-05-31 04:16:16,71.2906,-156.7887,30.22,80,90,12.66
140,Nikolskoye,RU,2021-05-31 04:16:16,59.7035,30.7861,48.09,56,49,3.27
141,Yumen,CN,2021-05-31 04:16:16,40.2833,97.2,69.84,10,0,6.38
142,Pisco,PE,2021-05-31 04:16:17,-13.7,-76.2167,61.02,94,20,2.3
143,Kaitangata,NZ,2021-05-31 04:13:21,-46.2817,169.8464,50.05,94,100,7.67
144,Heinola,FI,2021-05-31 04:16:18,61.2056,26.0381,42.89,70,100,6.31
145,Quimper,FR,2021-05-31 04:16:21,48.0,-4.1,53.67,93,0,5.75
146,Yellowknife,CA,2021-05-31 04:14:03,62.456,-114.3525,48.33,52,33,4.65
147,Ocos,GT,2021-05-31 04:16:22,14.5094,-92.1933,81.32,79,62,7.11
148,Srandakan,ID,2021-05-31 04:16:22,-7.9386,110.2506,67.73,75,91,10.47
149,Esperance,AU,2021-05-31 04:16:22,-33.8667,121.9,60.64,77,96,25.97
150,Georgetown,MY,2021-05-31 04:14:43,5.4112,100.3354,89.53,70,20,1.57
151,Manaure,CO,2021-05-31 04:16:23,11.7751,-72.4445,79.57,79,96,15.37
152,Uruzgan,AF,2021-05-31 04:16:23,32.8333,66.0,79.11,15,0,8.16
153,Getulio Vargas,UY,2021-05-31 04:16:24,-32.6796,-53.5494,41.23,73,0,6.02
154,Birao,CF,2021-05-31 04:16:24,10.2849,22.7882,82.36,40,2,2.93
155,Santa Cruz,BO,2021-05-31 04:12:37,-17.8,-63.1667,60.26,77,75,12.12
156,Atikokan,CA,2021-05-31 04:16:25,48.7555,-91.6216,45.43,96,100,4.72
157,Saint-Francois,FR,2021-05-31 04:16:25,46.4154,3.9054,48.18,94,5,3.44
158,Port-Gentil,GA,2021-05-31 04:14:13,-0.7193,8.7815,78.57,83,99,15.1
159,Lasa,IT,2021-05-31 04:16:26,46.6166,10.7002,49.08,80,21,1.52
160,Dikson,RU,2021-05-31 04:12:23,73.5069,80.5464,30.47,97,100,13.29
161,Namibe,AO,2021-05-31 04:14:28,-15.1961,12.1522,72.21,58,53,5.44
162,Neiafu,TO,2021-05-31 04:16:27,-18.65,-173.9833,83.08,78,20,0.0
163,Walvis Bay,NA,2021-05-31 04:13:14,-22.9575,14.5053,53.1,85,14,10.6
164,Amaga,CO,2021-05-31 04:16:28,6.04,-75.7031,68.38,98,100,2.37
